TC5_W35,TC6A_W35,TC6B_W35,SNSA_W35,SNSB_W35,SNSE_W35,SM6A_W35,F_SEX_FINAL,F_CREGION_FINAL,F_EDUCCAT_FINAL,F_RACECMB_RECRUITMENT,F_AGECAT_FINAL,F_INCOME_FINAL,F_IDEO_FINAL,SM6B_W35,SM8A_W35,SM8B_W35,SM8C_W35,SM10A_W35,SM10B_W35,SM10C_W35,SM10D_W35,SM10E_W35,SM11_W35,SM3_W35,SM7_W35,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,WEIGHT_W35
2,2,1,1,1,1,3,1,1,2,1,2,9,1,2,2,2,2,2,2,1,2,2,2,1,1,-0.47167204437301236,-1.0568808530989284,0.5483027757852297,0.09805819922553141,-0.27672645882693414,-0.6946090421103791,0.1317793779746963,-1.0387227361431737,-0.4702512704919183,0.3094808861
3,3,3,1,1,0,1,1,4,1,1,4,7,3,3,1,2,2,2,2,2,2,2,2,1,2,-1.3697778805497154,0.45005121759035654,-0.9269812972511755,0.29251244935660786,-0.3068710541697392,0.33682710407731287,-0.13047921808708599,-0.16721675108132972,0.48973758587992294,0.1493322284
1,1,3,0,0,0,1,2,2,1,1,4,4,4,3,2,2,2,2,2,2,2,2,2,2,2,-1.2134034808705545,0.7925166350663039,1.375850566618022,-0.6539420035481314,-0.7555870367184272,1.7387660868338946,1.5895977455142634,-0.5646955958387406,1.3993036147674158,0.2098033751
1,1,3,1,0,0,2,2,1,3,1,2,2,4,1,2,2,2,2,2,1,2,1,2,2,2,-1.104150135645256,-0.25814707025935213,0.030260082688423215,0.21095614664652124,-0.3298154554051266,-0.7000453660332959,-0.6130040992735576,-1.1401848872390057,-1.4997121106660354,2.3660833081
1,1,1,1,1,1,1,1,2,2,1,2,8,4,2,1,1,2,2,2,2,2,2,2,2,4,0.1726030194650868,1.0299210091826427,-0.5622196410506146,-0.6761639868714615,-0.8098073948748498,0.2395747093347833,2.2488899178778423,-1.1295016374069429,1.4590958057519527,0.3412431974
3,1,1,1,0,0,3,1,3,3,1,4,3,3,3,2,2,2,2,1,2,2,2,2,2,4,-0.10954693771682507,0.9331458364446559,-0.38294184649564683,-0.553765993412583,-0.39719800420898077,-1.0860856478573482,2.1166159511595093,0.6238071232079236,0.3647420539214432,4.6340585739
1,1,2,1,0,0,3,2,4,2,1,4,5,5,3,2,2,2,2,2,1,1,2,2,2,2,-1.0893422248593367,-0.6584357006321211,0.15048654405262982,-0.4653597707176354,-0.5950473362650567,0.4836761531283934,0.04591502272360028,-0.20904179063858877,-1.4366897427662402,0.5426419718
2,3,3,1,0,0,2,2,2,3,1,3,7,3,3,2,2,2,2,2,2,2,2,2,1,2,0.1996020356952255,0.3553162184364569,-0.5427757680549493,0.586986568610125,-0.2689413747537016,0.1697000690067138,-0.2078288990138999,-0.5055332735336515,-0.7616679791654363,0.186521524
1,1,3,0,0,0,2,1,3,1,1,4,6,3,1,2,2,2,2,2,1,2,2,2,2,2,-0.03465335560431942,1.360355148254096,0.16449519393671744,-0.19632792484916492,-0.09143328881666064,-1.1102151697534128,0.80482860442439,0.13366685178507706,-1.541432995379214,0.2630798606
3,3,3,0,0,0,3,1,3,1,1,3,9,2,3,2,2,2,2,2,2,2,2,2,2,2,0.3310232730867346,0.8037009277006214,1.6086180113160882,0.31228253844972853,0.45532444883976214,0.038687582923348174,-0.39820635077388417,0.556834639253599,1.3541177835768092,0.0922839966
1,1,1,1,0,1,3,1,2,1,1,4,6,3,1,2,2,2,2,2,2,1,1,2,2,2,0.0653198013367956,-0.8747606330560644,-0.4154353842194639,0.13166970778401565,-0.17632130463685705,0.6240044198338527,-0.5651328699856036,0.5670091843417888,-0.6304396457824847,0.1605570152
1,1,3,1,1,1,3,2,4,1,1,3,4,4,2,2,2,2,2,2,1,2,1,2,2,2,0.8575844043682523,-0.8641635145464582,-0.2103452428864762,1.3556585137054766,0.8587343310469926,-0.2431247827362812,-0.4307684745152228,-0.8764144255087852,-0.9072980074267532,0.1338996054
3,2,1,1,1,0,1,1,3,2,1,2,6,1,2,2,2,2,1,2,1,1,2,2,2,2,0.5936982322550499,-0.6623673915164726,0.9769562400401097,-0.6887164302285143,-0.10694647596323163,-0.4886615640787687,0.9485972627945476,-0.09598284967191749,0.569681641674094,0.3768525297
3,1,3,1,1,1,3,2,1,1,1,4,8,4,3,2,2,2,2,1,1,1,1,2,1,3,-1.0932657769558451,-0.41453820969362676,-0.5159544951767531,0.2224230565055993,-0.5627197849104438,-0.7974224099528855,-1.2513593044557667,0.21021916645488398,0.6026579854528737,0.6955994517
1,3,3,1,0,1,3,2,4,1,1,3,8,3,3,2,2,2,2,2,1,2,2,2,2,4,-0.21566497747446667,0.6931209366675356,0.8959690019411566,-0.4733136446367994,-0.5280234029622748,1.5631726914772912,0.41201522283814207,1.6578856083174185,1.3238012196280886,0.1573269718
1,1,2,1,0,1,2,1,2,2,2,4,3,4,3,2,2,2,2,2,2,2,1,2,2,1,0.06802550730259715,-0.14157952979181826,1.053195380995294,1.0330835433567094,-0.6691234410078327,-0.48310802923831175,0.5249194535684337,1.2673540856108252,0.28378615562735576,1.3526517821
1,2,1,1,1,1,2,2,4,1,5,4,8,1,2,2,1,2,2,2,1,2,2,2,2,1,-0.49231081366017004,-1.7371886168144897,0.17599824048966775,-0.9011830414394393,-0.0846646218633727,2.130554410357417,-0.22700253826538727,0.10713604888310918,-0.4353993736118874,0.3645896138
3,1,1,1,0,0,1,2,3,2,2,3,5,4,3,2,2,2,2,2,1,1,2,2,2,2,-0.32993813683322487,-0.27816515383685286,0.12141234968715482,2.082516025272621,-0.04727629603726739,0.3503843630784672,0.5081443874269383,0.044757781532238555,0.1391970525678375,0.217227169
3,1,1,1,0,0,2,2,2,2,1,3,6,2,1,2,2,2,2,2,2,1,2,2,2,1,-0.4726472736430366,-1.0907256523306508,0.8212822413376786,-1.066721383258273,1.004142481891095,-0.36990510371000435,-0.8965970272183035,1.2756228938796441,-0.2967512149500623,0.9686317397
1,1,3,1,0,1,1,2,3,2,2,4,5,3,3,2,2,2,1,2,1,1,2,1,1,2,2.4165331954124625,-1.0710438325446978,-0.7179638115314857,2.2419137446655535,-1.0808704260725757,2.021546393611085,-1.306721331196002,-1.2173005550848737,-1.062105601946631,0.2176877115
1,1,1,1,0,1,3,2,3,1,1,2,6,3,1,2,2,2,2,2,1,2,2,2,2,2,1.1980247852830501,0.5089298633493042,-0.13530173881667593,0.9486365440777667,-0.9706949345706272,0.5651725211458241,-0.455314616770318,0.19881901571171273,0.10844187123542968,0.1573830799
2,3,1,0,0,0,2,1,4,3,5,3,8,2,1,2,2,2,2,2,2,2,2,2,2,1,-0.8573040918897034,0.7029939957812525,0.017576826658441475,-1.199762922244702,1.525079462613472,-0.22524234653500944,1.102049933211818,0.23143645453357195,1.6212114778421123,0.9646819852
1,1,3,0,0,0,2,2,2,1,1,2,6,4,1,2,2,2,2,2,2,2,2,2,2,3,2.103423995092696,0.7732001000706614,-0.3070180418447537,2.73936227640191,2.992228514879871,-1.619585252039305,-0.8107733673682752,-0.0024107969917419453,0.8553425176635155,0.2105754407
1,3,1,1,0,0,2,2,2,1,1,3,9,2,3,2,2,2,2,2,2,2,2,2,2,2,0.5724361813568337,1.2593341424237436,-0.13247402906795738,-0.8250113132342934,0.24837036544626204,0.606473595363993,-0.0606188846216823,-0.17126472154291006,-1.7391397252311578,0.7169706448
1,1,3,1,0,0,1,2,2,2,2,4,4,2,3,2,2,2,1,2,1,1,2,1,1,2,0.13207940247447053,-0.8322295788254845,1.4080624231077228,0.42459564542890194,-1.9851354869491287,-0.853924497881373,-1.646460554162092,1.63884956311535,1.60178363860572,0.2299520608
1,1,2,1,0,0,3,2,2,3,1,3,3,3,3,2,1,2,2,2,2,1,2,2,2,2,-0.8104466676395858,0.14849608875309622,0.3855728795130441,0.8077193018656691,0.00983316434919394,0.9160826680652172,-0.3522185247365384,0.1387836525434401,-0.8791869409284698,2.7617982991
3,1,1,0,0,0,2,2,3,3,1,2,6,2,3,2,2,2,2,2,1,2,2,2,2,1,-0.8065722162768334,1.130311407697138,-0.964750836687859,-0.893101133376913,0.9529342687794787,-0.0484037824757438,-0.3658432575706855,1.104012924904365,1.5514348445980144,0.6750062522
1,3,1,0,1,1,3,1,2,1,1,3,9,2,1,2,2,2,2,2,2,2,2,2,2,3,-0.06316395471622971,0.1934480769391884,-0.656511054640074,0.41243694376824036,1.5129043476272468,-0.442698969196028,-0.13949235307570887,-1.463797627831567,0.2957012885174081,0.1408567185
1,1,3,1,1,1,3,1,3,1,9,2,9,3,3,2,2,2,2,1,1,1,2,2,2,4,1.2255310752046364,-1.6988326056160714,-0.8235561578478875,0.11422211436919637,-0.7481272394043871,0.6991922135054396,-1.274019779772918,-0.7019311072993195,-0.5780904704781554,0.1420700924
3,2,1,0,0,0,2,1,3,1,1,4,8,1,3,1,2,2,2,2,1,2,2,2,2,1,-1.074384601484434,1.0592711224240077,0.3820616610433453,-0.7941447977508588,1.052393191717388,-0.990980507156534,1.5248602662445778,0.5771183330157702,-1.6522955830798836,0.5142417998
1,1,1,1,0,0,1,2,2,1,1,4,7,2,3,2,2,2,2,2,1,1,2,2,1,2,-0.1702158295620514,-0.07656807099972608,1.0199046752336307,0.8265575905199612,-1.4875906188251016,-0.8343622646954612,1.0174830719123975,0.4514905970184369,1.381770220191645,0.2738268419
1,1,1,1,0,0,3,2,1,2,1,2,7,4,3,2,2,2,2,2,2,2,1,2,2,4,1.8700742726277872,1.264498983965612,0.9917462914530933,-0.7473798180783743,-1.627150573944368,1.341706111762519,-0.40924936246966354,-1.534030886322167,0.3266134154501622,2.0324655257
3,3,3,1,0,1,3,2,2,2,1,3,2,2,3,2,2,2,2,2,2,2,2,2,1,2,-0.6313759968118452,-2.1042853694102845,-0.7162036247897632,0.6558727986769085,0.08799920522296018,1.6084398648005767,0.010969438270309556,0.4163233518680967,0.42027824942139447,0.5464443888
1,3,2,0,0,0,2,1,3,1,1,4,8,4,1,2,2,2,2,2,2,2,2,2,2,2,0.5882101477543478,0.6127923066429037,0.8500283540800722,-0.9179968114043429,1.1124727238598497,-1.1032525521796532,1.374159140203023,1.5471835250396664,-0.5301704804394123,0.5296333571
3,3,1,1,1,1,1,1,3,1,1,3,7,3,3,2,2,2,2,2,2,1,2,2,2,3,0.8365749082114642,0.8880130856468608,-0.32982970056753086,0.6161483448499739,-0.003026748913943965,-0.12453427401964536,0.13386622638659063,-0.5781140361820758,-0.8369506158583506,0.1647215932
3,3,3,1,1,0,3,2,4,1,1,4,8,3,3,2,2,2,1,1,2,1,1,2,2,2,0.3478740964463326,-0.4511982423366216,-0.14800510969025785,-0.6805419287844964,-0.4877101665859763,0.0028739515283346174,0.3853442921498424,0.642369680890679,0.4903787211593638,0.2134635707
1,3,3,1,1,1,2,1,3,1,2,4,8,4,3,2,2,2,2,2,1,1,1,1,2,3,-0.45810765251445235,-1.9866592120453492,-0.3088254647342055,0.21449608617948546,0.1451956680578127,-0.20423880602116534,-1.3830859974180936,0.5850976687064622,1.5942931900137547,0.1395623067
1,1,1,1,0,0,2,2,2,3,1,3,1,3,1,2,2,2,2,2,1,1,2,2,2,1,-0.6601424123740228,0.19908379931438921,0.5520474257515546,-0.9304293063269065,0.06180052568944057,-0.9357829137194976,0.6785231471984423,1.8174054547552771,0.5066055703544424,0.3749119274
1,3,3,1,0,0,3,2,4,3,1,3,5,2,2,2,2,2,2,2,2,2,2,2,1,3,-0.5784696352405306,0.20785959633751797,0.2682016197550418,-0.37260940100195167,-0.16406999137573575,-0.2347164459530918,-0.24477917881549,-0.11491494915380411,0.4410334836375272,1.3152348803
1,3,1,1,1,1,3,2,1,2,1,3,6,3,2,2,2,2,2,2,2,2,2,2,2,1,-0.5586869161284962,1.3125622930553849,0.3710935502646228,0.522150494683405,-0.3646293727459458,-1.2142394191050936,-1.5331532986613732,2.118993345372078,1.4554764295325462,0.919464738
3,1,3,1,0,0,1,2,2,2,1,3,4,3,3,2,2,2,1,2,1,1,2,2,2,2,1.21740986653771,-0.7660062945391903,-0.583273548558063,1.6324754192593556,-0.5024458145232517,-0.16911029384864273,-0.10772131311742515,-0.46466513241867224,-0.8105145798139471,0.4348029456
3,3,3,1,0,0,3,2,2,1,1,3,7,5,3,2,2,2,1,1,1,2,2,2,1,3,1.3386454642562957,0.16824938714810805,-0.6431929137944614,0.05742288801537118,-0.7587039003152676,0.5645902491049493,-0.4076633342169794,0.2502738334879273,-0.7947562433031676,0.1605121129
3,2,1,1,0,1,3,2,2,1,1,3,7,3,3,2,2,2,1,2,1,1,2,2,2,1,0.12079156162071604,0.5929099226592064,1.5329441314993153,-0.8576759706423781,-0.15045721061210027,-1.0056809935748245,-0.4667384062700801,-0.0837841423074695,-0.44910375719460943,0.1562835079
1,1,2,1,1,1,1,1,1,1,1,3,9,4,3,2,2,2,2,2,1,1,1,1,2,3,-0.03518644288714327,-0.5777161693347169,-0.28766251177508395,0.5358569807824315,-0.6557286740432337,-0.04977498769710775,0.3570018415252978,-0.049823366921169475,0.31442878387260165,0.1029789709
3,3,1,1,1,0,3,1,3,1,1,3,8,2,3,2,2,2,2,2,2,2,2,2,2,1,0.7409809648928375,0.8615432926337571,0.5796223727666306,-0.48444276355241667,-0.0061013066672494735,0.407380301649378,0.21886081418468778,-0.19863957446417535,1.3692774899520377,0.1254159573
3,1,2,0,0,0,2,1,3,1,2,3,8,2,1,2,2,2,2,2,1,1,2,2,1,2,-1.0947539523761132,-0.4878118300765736,0.14897798097999443,3.214601975742005,1.529201792005665,-1.4007177715712658,-0.6952699491851206,0.22873983165316347,1.195019774855963,0.8205185387
1,1,1,1,1,1,3,1,1,1,3,3,4,3,3,1,1,1,1,1,1,1,1,1,2,2,0.026884411784154474,-0.8032588667892991,-0.07070752389900031,0.7027440356920447,0.13196816781408524,-0.2827861354799436,-0.09606567330485696,-0.26051165204643895,-0.7238650929759466,1.0640074722
3,1,1,1,0,0,3,2,3,2,1,4,4,2,2,2,2,2,1,2,2,2,2,2,2,1,-0.31023760710624343,1.3983133420461447,0.7197810477769822,-0.6462280147310869,-1.0755345478555949,-1.047076641217043,-0.40586950371017316,0.06740201340160783,0.6272392714931889,1.0544118196
2,3,3,1,0,0,2,1,3,2,1,3,4,2,2,2,2,2,2,2,2,2,2,2,2,1,-0.997195032112821,0.053487332389499195,-0.2806817285286232,-0.6251068914452683,0.45539348298176824,-0.9570620736136093,0.9627284522781413,0.7892953304487227,-0.3286314091113701,0.1515705811
1,3,1,1,1,1,3,2,1,1,1,2,5,3,3,2,2,2,2,2,2,2,2,2,1,1,1.6843630939603886,1.61746311482121,0.12566422727414517,-0.804506737675015,-0.8294225261569953,1.1742949710565491,-1.8440291850345576,-0.804367118080568,-0.6940225705220042,1.1483296952
1,1,1,1,0,0,1,2,1,1,1,4,1,2,3,2,2,2,2,2,2,1,2,2,2,3,1.230508360733096,0.912128368260171,-0.355103475111694,-0.546011925943801,-0.479188917774736,-0.49882866693152333,0.6877976574450732,0.44014627827825803,0.35572859803933726,0.1651311907
3,3,1,1,0,0,1,2,2,1,1,3,8,2,3,2,2,2,2,2,2,1,2,2,2,1,0.7977139253004262,-0.1275173945383044,-0.24707883237466682,0.325199495941057,-0.3509598163877847,-0.4162556186861529,1.000558575973062,0.02116375880850381,0.28477585872423994,0.723190044
3,3,3,1,0,0,3,1,4,1,1,3,9,4,3,2,2,2,1,1,1,1,1,2,1,2,-1.1989074330346865,-1.1961140621196458,-0.7206770161974696,0.9012261048543648,-0.04241394533481047,0.01840718207045278,-0.6658304678877277,0.002904578584753268,-1.651693628693848,0.125577614
2,3,1,1,1,1,3,1,4,1,1,2,9,3,3,2,2,2,2,2,1,2,2,2,2,3,1.134921381700462,0.6147025458984001,-0.8443067718344611,-0.7484911619916086,0.4706644832833542,1.3744447908482733,-0.42176322510673003,1.4618919212011772,0.2268701596680603,0.1783192983
1,1,3,1,0,0,2,2,4,1,1,2,9,5,1,2,2,2,1,2,1,2,1,2,2,3,0.13919370541315262,0.5369716640587935,0.5725778410757884,-0.741051951403501,-0.3917672030603921,-0.9708901460095526,0.30274593452848836,1.0775363526694293,-1.489701563059177,0.1837127105
1,3,3,1,1,0,1,2,3,2,1,3,8,3,2,1,2,1,2,2,2,2,2,2,1,4,2.0878869841378966,-1.0176533213920154,-0.4949757219759264,0.31280424582164346,0.8946607606127123,-0.8389674416774793,-1.202948081475757,-0.7781735348465721,1.4671896035964904,0.6302677471
3,1,1,1,0,0,3,2,2,3,1,3,3,1,3,1,2,1,2,2,2,2,2,2,2,1,-0.052011733118388914,0.10657395920499614,-0.33394946485039867,1.4183853287943222,-0.6188014286817115,-0.7056245481600789,0.42274674084440583,1.3195773254776073,0.15724983833795797,0.5161409394
2,3,1,1,0,0,1,1,3,2,1,4,6,2,3,2,2,2,2,2,2,2,2,2,2,1,0.7767271378502332,0.6084218467140169,0.9885922909931091,1.3150545652603562,-0.6663835317004185,0.9010011646651135,0.38568983843464955,2.052243829206977,1.0025209614643196,0.8114784475
3,3,3,1,0,1,3,2,1,1,1,4,6,4,3,2,2,2,2,2,1,1,1,2,1,3,1.426572129589059,-1.4099074019051099,-0.7122751074143185,-0.2773671990955604,-1.4541917299997305,-0.2757810662347508,-1.11150485702463,-1.1405927763600476,-1.5979780772824739,0.2550175539
3,3,1,1,1,1,3,2,4,3,1,4,6,1,2,2,2,1,2,1,1,1,2,2,2,1,-0.8952276916285292,-1.0052527826437487,-0.12950151352351394,-0.5795590007373008,0.6616553103625288,-0.28553888372660374,-0.060695229087932095,-0.33022233763703807,0.6270277264966185,0.8604253025
3,3,1,1,0,0,3,1,4,2,1,3,8,3,2,2,2,2,2,2,1,1,1,2,2,1,0.6076001187897678,-1.3711596028109216,-0.4480202242842176,-0.6795751103668134,0.013006754800587146,0.20856785482174278,1.6404823554493293,-0.2484333453204406,0.4387441877708888,0.6314065818
3,3,3,1,0,0,3,2,2,3,1,3,5,3,3,2,2,2,2,2,2,1,2,2,2,2,-0.5401959078746424,-0.16125616904352888,1.3204738098371556,-0.5876059786625936,-0.9551622267358153,1.0331840044603147,-0.20610209374953561,-0.06750754474675007,-0.37370222273762227,0.4296328487
1,1,2,1,0,1,3,2,3,3,1,4,4,3,3,2,1,1,2,2,2,2,2,2,2,2,1.2784029615091212,-0.07685709313600768,-1.4930418774999594,0.6070857188666025,0.2782067344315565,-0.7884902157103707,-0.76278619636176,0.14085856180250822,-0.7151718126819147,2.5937301717
1,3,3,1,1,0,1,1,2,1,1,3,9,4,3,1,2,2,2,2,1,2,2,2,2,2,0.4474233711926684,-0.866896640230309,-0.6475850624945559,-0.7651364900085746,-0.576670086508515,-0.6226492329948322,0.6916356658170236,0.1325570416712799,-0.4024765803335096,0.0922839966
2,3,1,1,0,0,1,2,2,1,1,3,4,2,2,2,2,2,2,2,1,1,2,2,2,1,0.9776924971315719,-0.017140192681795827,-0.8255093044224064,1.1353130165449654,0.30382884112044317,-1.2712508226365753,-0.05065048219033873,-1.2366800352661707,0.27551928419377963,0.2130102119
1,3,3,0,0,1,3,1,1,1,1,2,6,5,3,1,2,2,2,2,1,2,2,2,2,4,1.1288021896391174,-0.7171887305821653,0.8851146543976642,-0.1565871097036218,-0.22667057355886341,0.4303963460762503,0.2211388687797584,-0.7621166364698477,-0.6580542900482265,0.7016524034
3,1,3,1,1,0,3,2,4,1,1,4,8,3,3,2,2,2,2,2,1,1,1,2,2,3,0.11671008259758174,-0.023134139024855633,-0.6247480611483607,-0.33466457274156725,0.5085019472633008,-0.35270706805400037,-0.15646114446890416,-0.5329915456938211,-0.45028818259605535,0.0922839966
3,1,1,1,0,1,1,2,3,1,1,3,7,2,3,2,2,2,2,2,1,2,2,2,2,2,1.1229379417212817,0.40552977386026157,0.2500484050153718,0.8292017605022399,-0.1864499432201113,0.7090244188665429,-0.32482635680213356,-1.3851725785914322,0.1885419195652872,0.2522745052
1,3,3,1,1,0,1,2,3,2,1,3,1,3,3,2,2,2,2,2,2,2,2,2,2,2,0.7839484133800697,1.4019119446414765,0.49809878192534796,0.5183359477525966,-1.4881121043407848,-0.43620494497294293,-0.2936953943491784,-1.2189416941038451,1.4178099557681865,0.8950371943
1,3,3,1,0,0,3,2,3,2,1,3,6,1,2,2,2,2,1,2,1,1,2,2,1,4,0.5446699724000268,-0.3946924751137131,1.0347504039020048,0.7693904771824686,-1.3680945327414078,0.9780881397148404,-1.515809834125341,-0.10856183553620934,0.3029685280262311,0.1210606925
3,2,1,1,0,0,3,2,2,3,1,4,6,1,3,2,2,2,2,2,1,2,2,2,2,1,-1.1893951600948358,-2.0046090704514534,0.752677741258097,-0.9341767781349067,0.5032008508103911,-0.8538908624190982,1.1837214311433464,0.6758749368981286,1.8250655372650686,3.0250205557
